Date,Item Name,Category,Price (₹),Quantity Sold,Total Sales (₹)
01-02-2024,Parippu Vada,Snack,10,26,260
01-02-2024,Egg Puffs,Snack,20,9,180
01-02-2024,Butter Bun,Bread,15,22,330
01-02-2024,Plum Cake,Cake,150,21,3150
01-02-2024,Pazhampori (Banana Fry),Snack,12,49,588
01-02-2024,Uzhunnu Vada,Snack,12,5,60
01-02-2024,Ullivada,Snack,10,50,500
01-02-2024,Banana Chips,Snack,100,28,2800
01-02-2024,Tea Biscuit,Biscuit,30,7,210
01-02-2024,Chicken Puffs,Snack,25,12,300
01-02-2024,Ela Ada,Sweet,20,14,280
01-02-2024,Cream Bun,Bread,20,14,280
01-02-2024,Nannari Sharbat,Beverage,25,35,875
01-02-2024,Sugiyan,Sweet,15,28,420
01-02-2024,Neyyappam,Sweet,20,39,780
01-02-2024,Black Forest Cake,Cake,500,6,3000
01-02-2024,Mixture,Snack,120,32,3840
01-02-2024,Jilebi,Sweet,50,19,950
01-02-2024,Butter Biscuit,Biscuit,25,31,775
01-02-2024,Vettu Cake,Cake,15,42,630
01-02-2024,Milk Bun,Bread,18,37,666
01-02-2024,Choco Lava Cake,Cake,80,25,2000
01-02-2024,Fruit Cake,Cake,350,40,14000
01-02-2024,Lemon Juice,Beverage,30,16,480
01-02-2024,Badam Milk,Beverage,40,47,1880
01-02-2024,Ghee Cake,Cake,120,48,5760
01-02-2024,Mysore Pak,Sweet,180,34,6120
01-02-2024,Milk Bikis,Biscuit,25,20,500
01-02-2024,Marble Cake,Cake,90,44,3960
01-02-2024,Pineapple Juice,Beverage,35,50,1750
02-02-2024,Parippu Vada,Snack,10,9,90
02-02-2024,Egg Puffs,Snack,20,24,480
02-02-2024,Butter Bun,Bread,15,16,240
02-02-2024,Plum Cake,Cake,150,11,1650
02-02-2024,Pazhampori (Banana Fry),Snack,12,43,516
02-02-2024,Uzhunnu Vada,Snack,12,44,528
02-02-2024,Ullivada,Snack,10,33,330
02-02-2024,Banana Chips,Snack,100,20,2000
02-02-2024,Tea Biscuit,Biscuit,30,43,1290
02-02-2024,Chicken Puffs,Snack,25,42,1050
02-02-2024,Ela Ada,Sweet,20,31,620
02-02-2024,Cream Bun,Bread,20,50,1000
02-02-2024,Nannari Sharbat,Beverage,25,48,1200
02-02-2024,Sugiyan,Sweet,15,9,135
02-02-2024,Neyyappam,Sweet,20,15,300
02-02-2024,Black Forest Cake,Cake,500,26,13000
02-02-2024,Mixture,Snack,120,8,960
02-02-2024,Jilebi,Sweet,50,16,800
02-02-2024,Butter Biscuit,Biscuit,25,17,425
02-02-2024,Vettu Cake,Cake,15,33,495
02-02-2024,Milk Bun,Bread,18,32,576
02-02-2024,Choco Lava Cake,Cake,80,41,3280
02-02-2024,Fruit Cake,Cake,350,38,13300
02-02-2024,Lemon Juice,Beverage,30,48,1440
02-02-2024,Badam Milk,Beverage,40,12,480
02-02-2024,Ghee Cake,Cake,120,46,5520
02-02-2024,Mysore Pak,Sweet,180,17,3060
02-02-2024,Milk Bikis,Biscuit,25,20,500
02-02-2024,Marble Cake,Cake,90,27,2430
02-02-2024,Pineapple Juice,Beverage,35,48,1680
03-02-2024,Parippu Vada,Snack,10,9,90
03-02-2024,Egg Puffs,Snack,20,7,140
03-02-2024,Butter Bun,Bread,15,27,405
03-02-2024,Plum Cake,Cake,150,24,3600
03-02-2024,Pazhampori (Banana Fry),Snack,12,34,408
03-02-2024,Uzhunnu Vada,Snack,12,42,504
03-02-2024,Ullivada,Snack,10,24,240
03-02-2024,Banana Chips,Snack,100,35,3500
03-02-2024,Tea Biscuit,Biscuit,30,36,1080
03-02-2024,Chicken Puffs,Snack,25,10,250
03-02-2024,Ela Ada,Sweet,20,8,160
03-02-2024,Cream Bun,Bread,20,17,340
03-02-2024,Nannari Sharbat,Beverage,25,8,200
03-02-2024,Sugiyan,Sweet,15,30,450
03-02-2024,Neyyappam,Sweet,20,29,580
03-02-2024,Black Forest Cake,Cake,500,27,13500
03-02-2024,Mixture,Snack,120,17,2040
03-02-2024,Jilebi,Sweet,50,11,550
03-02-2024,Butter Biscuit,Biscuit,25,38,950
03-02-2024,Vettu Cake,Cake,15,11,165
03-02-2024,Milk Bun,Bread,18,13,234
03-02-2024,Choco Lava Cake,Cake,80,31,2480
03-02-2024,Fruit Cake,Cake,350,24,8400
03-02-2024,Lemon Juice,Beverage,30,17,510
03-02-2024,Badam Milk,Beverage,40,47,1880
03-02-2024,Ghee Cake,Cake,120,35,4200
03-02-2024,Mysore Pak,Sweet,180,49,8820
03-02-2024,Milk Bikis,Biscuit,25,28,700
